Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet in PPP dollars [CoCA_PPP],Cost of a nutrient adequate diet in PPP dollars [CoNA_PPP],Cost of a healthy diet in PPP dollars [CoHD_PPP],Cost of fruits in PPP dollars [CoHD_f_PPP],Cost of vegetables in PPP dollars [CoHD_v_PPP],Cost of starchy staples in PPP dollars [CoHD_ss_PPP],Cost of animal source foods in PPP dollars [CoHD_asf_PPP],"Cost of legumes, nuts and seeds in PPP dollars [CoHD_lns_PPP]",Cost of fats and oils in PPP dollars [CoHD_of_PPP],Cost of an energy sufficient diet in local currency unit [CoCA_LCU],Cost of a nutrient adequate diet in local currency unit [CoNA_LCU],Cost of a healthy diet in local currency unit [CoHD_LCU],Cost of fruits in local currency unit [CoHD_f_LCU],Cost of vegetables in local currency unit [CoHD_v_LCU],Cost of starchy staples in local currency unit [CoHD_ss_LCU],Cost of animal source foods in local currency unit [CoHD_asf_LCU],"Cost of legumes, nuts and seeds in local currency unit [CoHD_lns_LCU]",Cost of fats and oils in local currency unit [CoHD_of_LCU],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 4.0,FPN 4.0,Niger,NER,2017,YR2017,..,..,3.25,..,..,..,..,..,..,..,..,791.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.41,..,..,..,..,..,86.1,..,..,18.5,21435446
Food Prices for Nutrition 4.0,FPN 4.0,Niger,NER,2018,YR2018,..,..,3.27,..,..,..,..,..,..,..,..,786.59,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.42,..,..,..,..,..,84.1,..,..,18.6,22188069
Food Prices for Nutrition 4.0,FPN 4.0,Niger,NER,2019,YR2019,..,..,3.34,..,..,..,..,..,..,..,..,750.38,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.48,..,..,..,..,..,83.5,..,..,19.2,22947757
Food Prices for Nutrition 4.0,FPN 4.0,Niger,NER,2020,YR2020,..,..,3.6,..,..,..,..,..,..,..,..,788.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.67,..,..,..,..,..,84.9,..,..,20.1,23717613
Food Prices for Nutrition 4.0,FPN 4.0,Niger,NER,2021,YR2021,0.75,2.03,4.02,0.81,0.53,0.49,1.7,0.29,0.2,157.49,427.59,847.07,171.18,111.06,103.08,358.03,61.25,42.49,5.38,0.2,0.13,0.12,0.42,0.07,0.05,1.66,1.08,3.48,0.6,0.41,0.55,1.5,2.98,0.58,1.56,3.1,19.6,63.3,87,4.8,15.5,21.3,24502140
Food Prices for Nutrition 4.0,FPN 4.0,Niger,NER,2022,YR2022,..,..,4.48,..,..,..,..,..,..,..,..,910.03,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.32,..,..,..,..,..,86.6,..,..,21.9,25311973
Food Prices for Nutrition 4.0,FPN 4.0,Niger,NER,2023,YR2023,..,..,4.68,..,..,..,..,..,..,..,..,947.84,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.47,..,..,..,..,..,86.6,..,..,22.7,26159867
Food Prices for Nutrition 4.0,FPN 4.0,Niger,NER,2024,YR2024,..,..,4.98,..,..,..,..,..,..,..,..,1067.67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.69,..,..,..,..,..,86.3,..,..,23.3,27032412
Food Prices for Nutrition 4.0,FPN 4.0,Nigeria,NGA,2017,YR2017,..,..,2.78,..,..,..,..,..,..,..,..,322.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.36,..,..,..,..,..,73.2,..,..,146.6,200254579
Food Prices for Nutrition 4.0,FPN 4.0,Nigeria,NGA,2018,YR2018,..,..,2.96,..,..,..,..,..,..,..,..,368.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.45,..,..,..,..,..,74,..,..,151.7,204938755
Food Prices for Nutrition 4.0,FPN 4.0,Nigeria,NGA,2019,YR2019,..,..,3.17,..,..,..,..,..,..,..,..,419.12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.55,..,..,..,..,..,74.8,..,..,156.7,209485641
Food Prices for Nutrition 4.0,FPN 4.0,Nigeria,NGA,2020,YR2020,..,..,3.41,..,..,..,..,..,..,..,..,486.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.67,..,..,..,..,..,77,..,..,164.8,213996181
Food Prices for Nutrition 4.0,FPN 4.0,Nigeria,NGA,2021,YR2021,1.96,2.36,3.76,0.37,0.8,1.07,1.09,0.27,0.16,304.93,367.01,585.34,57.19,124.97,167.06,169.58,41.69,24.85,1.92,0.1,0.21,0.28,0.29,0.07,0.04,0.34,0.75,1.01,0.25,0.15,0.96,1.16,1.84,0.52,0.63,1,56.4,62.6,77.5,123.4,136.8,169.3,218529286
Food Prices for Nutrition 4.0,FPN 4.0,Nigeria,NGA,2022,YR2022,..,..,4.12,..,..,..,..,..,..,..,..,706.71,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.02,..,..,..,..,..,77.7,..,..,173.3,223150896
Food Prices for Nutrition 4.0,FPN 4.0,Nigeria,NGA,2023,YR2023,..,..,4.39,..,..,..,..,..,..,..,..,901.34,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.15,..,..,..,..,..,78.3,..,..,178.4,227882945
Food Prices for Nutrition 4.0,FPN 4.0,Nigeria,NGA,2024,YR2024,..,..,4.72,..,..,..,..,..,..,..,..,1252.54,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.31,..,..,..,..,..,79.3,..,..,184.5,232679478
Food Prices for Nutrition 4.0,FPN 4.0,North America,NAC,2017,YR2017,..,..,2.71,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.24,..,..,..,..,..,4.8,..,..,17.8,..
Food Prices for Nutrition 4.0,FPN 4.0,North America,NAC,2018,YR2018,..,..,2.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,4.5,..,..,16.9,..
Food Prices for Nutrition 4.0,FPN 4.0,North America,NAC,2019,YR2019,..,..,2.84,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,4.1,..,..,15.4,..
Food Prices for Nutrition 4.0,FPN 4.0,North America,NAC,2020,YR2020,..,..,2.98,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.27,..,..,..,..,..,3.2,..,..,12.2,..
Food Prices for Nutrition 4.0,FPN 4.0,North America,NAC,2021,YR2021,0.84,2.16,3.14,0.6,0.9,0.47,0.81,0.27,0.1,..,..,..,..,..,..,..,..,..,4.21,0.2,0.29,0.15,0.25,0.08,0.03,1.54,2.08,1.87,0.61,0.2,0.08,0.19,0.28,0.12,0.3,0.44,2.3,2.5,2.6,8.6,9.5,9.7,..
Food Prices for Nutrition 4.0,FPN 4.0,North America,NAC,2022,YR2022,..,..,3.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.31,..,..,..,..,..,4.5,..,..,17.3,..
Food Prices for Nutrition 4.0,FPN 4.0,North America,NAC,2023,YR2023,..,..,3.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.33,..,..,..,..,..,4.6,..,..,17.5,..
Food Prices for Nutrition 4.0,FPN 4.0,North America,NAC,2024,YR2024,..,..,3.85,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.34,..,..,..,..,..,4.3,..,..,16.7,..
Food Prices for Nutrition 4.0,FPN 4.0,North Macedonia,MKD,2017,YR2017,..,..,3.29,..,..,..,..,..,..,..,..,74.18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.04,..,..,..,..,..,23.9,..,..,0.5,1940879
Food Prices for Nutrition 4.0,FPN 4.0,North Macedonia,MKD,2018,YR2018,..,..,3.3,..,..,..,..,..,..,..,..,74.79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.05,..,..,..,..,..,21.4,..,..,0.4,1919728
Food Prices for Nutrition 4.0,FPN 4.0,North Macedonia,MKD,2019,YR2019,..,..,3.49,..,..,..,..,..,..,..,..,76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.11,..,..,..,..,..,19.6,..,..,0.4,1897641
Food Prices for Nutrition 4.0,FPN 4.0,North Macedonia,MKD,2020,YR2020,..,..,3.52,..,..,..,..,..,..,..,..,77.83,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.12,..,..,..,..,..,21.5,..,..,0.4,1872015
Food Prices for Nutrition 4.0,FPN 4.0,North Macedonia,MKD,2021,YR2021,0.76,3.08,3.84,0.78,0.77,0.55,1.17,0.44,0.15,15.77,64.3,80.25,16.21,16.07,11.4,24.41,9.08,3.08,5.09,0.2,0.2,0.14,0.3,0.11,0.04,1.42,1.41,2.14,0.8,0.27,0.24,0.98,1.22,0.08,0.32,0.4,8.6,15.6,18.1,0.2,0.3,0.3,1851108
